Cod Partener,Beneficiar,categorie_contaminata,expunere_mil_lei,contragarantii,scor_serv_datorie,are_restante_peste_30_zile,total_incidente,total_incidente_majore,Este_in_interdictie,A_fost_interdictie,scor_serv_prel,mean_encode_categ_contaminata_1Y,prob_1Y_CRC,prob_1Y_no_crc,prob_1Y,stage,data_raport
40603477,TCE TODEA ITP S R L,instiintare_neplata,0.1599968,0,0,1,0,0,0,0,0,0.0478609998605216,0.3875524934864593,0.09917910547532671,0.3875524934864593,2,2021-10-31
40603515,TOP GAMING FADE SRL,standard,0.0319216,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01883677447548101,0.019571297307139884,0.01883677447548101,1,2021-10-31
40605788,NEPA FRESHOP SRL,standard,0.00460666,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.01931143225772404,0.01931143225772404,1,2021-10-31
40605834,KRONOS BOMB SRL,standard,0.06586615,39519.702,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018856413370999733,0.01989901349606824,0.018856413370999733,1,2021-10-31
40606546,AMG QUALITY CAR SERVICES SRL,standard,0.0311938,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.01956432902791105,0.01956432902791105,1,2021-10-31
40606627,DESALL BUSINESS CONS SRL,standard,0.008721360000000001,5232.804,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.01935036062281769,0.01935036062281769,1,2021-10-31
40606732,DDS MINI SERV 2019 SRL,standard,0.00876462,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.019350770305496715,0.019350770305496715,1,2021-10-31
40607258,AC RECYCLING HOF TIM SRL,instiintare_neplata,0.02029282,0,NA,NA,0,0,0,0,NA,0.0478609998605216,NA,0.09312179474363047,0.09312179474363047,1,2021-10-31
40608059,BRUTARIA URSOAIA SRL,standard,0.02103686,12622.104,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018830481269461682,0.019467335374922512,0.018830481269461682,1,2021-10-31
40608962,PARASCASEVEN S.R.L.-D.,standard,0.09319717999999999,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018872240553459343,0.020166781432718987,0.018872240553459343,1,2021-10-31
40609151,DMVM ANIS FOOD SRL,instiintare_neplata,0.15813272,0,0.15,1,0,0,0,0,0.15,0.0478609998605216,0.22333156280360222,0.09909602195510313,0.22333156280360222,2,2021-10-31
40609992,ELVIRA-SILVIANA STILE SRL,standard,0.014036149999999999,8421.684,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.019400756668472442,0.019400756668472442,1,2021-10-31
40610253,SZTOSKA PRO S.R.L.,standard,0.09587173,57523.032,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018873790063830605,0.02019317337125943,0.018873790063830605,1,2021-10-31
40610288,DIDI MACELARU' SRL-D,standard,0.08668597,0,0.5,0,0,0,0,0,0.5,0.923187279574391,0.01886846878160217,0.02010267123951745,0.01886846878160217,1,2021-10-31
40610954,CHIPS FACTORY SRL,standard,0.11424,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.020375343961603964,0.020375343961603964,1,2021-10-31
40612327,ASPRO GAMING SRL,standard,0.049047440000000005,29428.458,0.5,0,0,0,0,0,0.5,0.923187279574391,0.018846680260795484,0.019735971465369442,0.018846680260795484,1,2021-10-31
40613497,MAGIC MAR PRO SRL,standard,0.10168213000000001,61009.29,0.5,0,0,0,0,0,0.5,0.923187279574391,0.0188771567704209,0.020250625889378468,0.0188771567704209,1,2021-10-31
40614107,SOFIMARIE 2015 SRL,standard,0.079968,0,NA,NA,0,0,0,0,NA,0.923187279574391,NA,0.020036734502689516,0.020036734502689516,1,2021-10-31
